#  step      rmse_val    rmse_trn    rmse_e_val  rmse_e_trn    rmse_f_val  rmse_f_trn         lr
# If there is no available reference data, rmse_*_{val,trn} will print nan
 211000      3.92e-01    2.06e-01      6.60e-03    6.47e-03      3.62e-02    1.90e-02    1.2e-04
 212000      3.47e-01    3.22e-01      6.54e-03    1.00e-03      3.20e-02    2.98e-02    1.2e-04
 213000      2.58e-01    1.76e-01      9.99e-04    1.80e-04      2.39e-02    1.63e-02    1.2e-04
 214000      2.45e-01    4.59e-01      5.08e-03    3.37e-03      2.27e-02    4.24e-02    1.2e-04
 215000      3.74e-01    2.95e-01      5.89e-03    8.03e-03      3.54e-02    2.79e-02    1.1e-04
 216000      2.79e-01    2.15e-01      6.93e-03    2.39e-03      2.64e-02    2.04e-02    1.1e-04
 217000      3.14e-01    4.48e-01      8.03e-03    8.35e-03      2.97e-02    4.25e-02    1.1e-04
 218000      3.11e-01    3.41e-01      1.72e-03    1.44e-03      2.95e-02    3.24e-02    1.1e-04
 219000      2.41e-01    2.15e-01      1.37e-03    2.66e-03      2.29e-02    2.04e-02    1.1e-04
 220000      2.91e-01    4.40e-01      4.66e-03    4.75e-03      2.82e-02    4.28e-02    1.0e-04
 221000      2.35e-01    2.74e-01      3.67e-03    1.51e-03      2.28e-02    2.66e-02    1.0e-04
 222000      2.61e-01    2.77e-01      1.82e-03    2.16e-03      2.54e-02    2.70e-02    1.0e-04
 223000      2.78e-01    2.17e-01      1.18e-03    1.70e-03      2.70e-02    2.11e-02    1.0e-04
 224000      2.54e-01    2.71e-01      8.17e-03    1.82e-03      2.46e-02    2.64e-02    1.0e-04
 225000      2.74e-01    2.64e-01      1.20e-02    2.86e-03      2.71e-02    2.63e-02    9.9e-05
 226000      2.31e-01    2.67e-01      2.43e-03    2.62e-03      2.30e-02    2.66e-02    9.9e-05
 227000      1.41e-01    2.26e-01      3.25e-03    4.45e-03      1.41e-02    2.26e-02    9.9e-05
